id,question,heir,fardh,sahm,asalMasalah,notes,needsReview
37,زوجة، جدة، ابن,زوجة,1/8,3,24,,True
37,زوجة، جدة، ابن,جدة,1/6,4,24,,True
37,زوجة، جدة، ابن,ابن,مراجعة,17,24,,True
38,زوج، جدة، أب,زوج,1/2,3,6,,False
38,زوج، جدة، أب,جدة,1/6,1,6,,False
38,زوج، جدة، أب,أب,عصبة,2,6,,False
39,زوجة، جدة، أب,زوجة,1/4,3,12,,False
39,زوجة، جدة، أب,جدة,1/6,2,12,,False
39,زوجة، جدة، أب,أب,عصبة,7,12,,False
40,زوج، جدة، أب، ابن,زوج,1/4,3,12,,True
40,زوج، جدة، أب، ابن,جدة,1/6,2,12,,True
40,زوج، جدة، أب، ابن,أب,1/6,2,12,,True
40,زوج، جدة، أب، ابن,ابن,مراجعة,5,12,,True
41,زوجة، جدة، أب، ابن,زوجة,1/8,3,24,,True
41,زوجة، جدة، أب، ابن,جدة,1/6,4,24,,True
41,زوجة، جدة، أب، ابن,أب,1/6,4,24,,True
41,زوجة، جدة، أب، ابن,ابن,مراجعة,13,24,,True
42,جدة، جد,جدة,1/6,1,6,,False
42,جدة، جد,جد,عصبة,5,6,,False
43,زوج، جدة، جد,زوج,1/2,3,6,,False
43,زوج، جدة، جد,جدة,1/6,1,6,,False
43,زوج، جدة، جد,جد,عصبة,2,6,,False
44,زوجة، جدة، جد,زوجة,1/4,3,12,,False
44,زوجة، جدة، جد,جدة,1/6,2,12,,False
44,زوجة، جدة، جد,جد,عصبة,7,12,,False
45,زوج، جدة، جد، ابن,زوج,1/4,3,12,,True
45,زوج، جدة، جد، ابن,جدة,1/6,2,12,,True
45,زوج، جدة، جد، ابن,جد,1/6,2,12,,True
45,زوج، جدة، جد، ابن,ابن,مراجعة,5,12,,True
46,زوجة، جدة، جد، ابن,زوجة,1/8,3,24,,True
46,زوجة، جدة، جد، ابن,جدة,1/6,4,24,,True
46,زوجة، جدة، جد، ابن,جد,1/6,4,24,,True
46,زوجة، جدة، جد، ابن,ابن,مراجعة,13,24,,True
47,بنت، عم,بنت,1/2,1,2,,False
47,بنت، عم,عم,عصبة,1,2,,False
48,بنت، ابن,بنت,عصبة,1,3,,True
48,بنت، ابن,ابن,مراجعة,2,3,,True
49,زوج، بنت، عم,زوج,1/4,1,4,,False
49,زوج، بنت، عم,بنت,1/2,2,4,,False
49,زوج، بنت، عم,عم,عصبة,1,4,,False
50,زوجة، بنت، عم,زوجة,1/8,1,8,,False
50,زوجة، بنت، عم,بنت,1/2,4,8,,False
50,زوجة، بنت، عم,عم,عصبة,3,8,,False
51,زوج، بنت، ابن,زوج,1/4,1,4,,True
51,زوج، بنت، ابن,بنت,عصبة,1,4,,True
51,زوج، بنت، ابن,ابن,مراجعة,2,4,,True
52,زوجة، بنت، ابن,زوجة,1/8,3,24,,True
52,زوجة، بنت، ابن,بنت,عصبة,7,24,,True
52,زوجة، بنت، ابن,ابن,مراجعة,14,24,,True
53,بنت، أب,بنت,1/2,1,2,,False
53,بنت، أب,أب,1/6,1,2,,False
54,أب، بنت، ابن,أب,1/6,3,18,,True
54,أب، بنت، ابن,بنت,عصبة,5,18,,True
54,أب، بنت، ابن,ابن,مراجعة,10,18,,True
55,بنت، أم، عم,بنت,1/2,3,6,,False
55,بنت، أم، عم,أم,1/6,1,6,,False
55,بنت، أم، عم,عم,عصبة,2,6,,False
56,بنت، أم، ابن,بنت,عصبة,5,18,,True
56,بنت، أم، ابن,أم,1/6,3,18,,True
56,بنت، أم، ابن,ابن,مراجعة,10,18,,True
57,بنت، جد,بنت,1/2,1,2,,False
57,بنت، جد,جد,1/6,1,2,,False
58,بنت، جد، ابن,بنت,عصبة,5,18,,True
58,بنت، جد، ابن,جد,1/6,3,18,,True
58,بنت، جد، ابن,ابن,مراجعة,10,18,,True
59,بنت، جدة، عم,بنت,1/2,3,6,,False
59,بنت، جدة، عم,جدة,1/6,1,6,,False
59,بنت، جدة، عم,عم,عصبة,2,6,,False
60,بنت، جدة، ابن,بنت,عصبة,5,18,,True
60,بنت، جدة، ابن,جدة,1/6,3,18,,True
60,بنت، جدة، ابن,ابن,مراجعة,10,18,,True
61,زوج، بنت، أب,زوج,1/4,1,4,,False
61,زوج، بنت، أب,بنت,1/2,2,4,,False
61,زوج، بنت، أب,أب,1/6,1,4,,False
62,زوج، أب، بنت، ابن,زوج,1/4,9,36,,True
62,زوج، أب، بنت، ابن,أب,1/6,6,36,,True
62,زوج، أب، بنت، ابن,بنت,عصبة,7,36,,True
62,زوج، أب، بنت، ابن,ابن,مراجعة,14,36,,True
63,زوجة، بنت، أب,زوجة,1/8,1,8,,False
63,زوجة، بنت، أب,بنت,1/2,4,8,,False
63,زوجة، بنت، أب,أب,1/6,3,8,,False
64,زوجة، أب، بنت، ابن,زوجة,1/8,9,72,,True
64,زوجة، أب، بنت، ابن,أب,1/6,12,72,,True
64,زوجة، أب، بنت، ابن,بنت,عصبة,17,72,,True
64,زوجة، أب، بنت، ابن,ابن,مراجعة,34,72,,True
65,زوج، أم، بنت، عم,زوج,1/4,3,12,,False
65,زوج، أم، بنت، عم,أم,1/6,2,12,,False
65,زوج، أم، بنت، عم,بنت,1/2,6,12,,False
65,زوج، أم، بنت، عم,عم,عصبة,1,12,,False
66,زوج، أم، بنت، ابن,زوج,1/4,9,36,,True
66,زوج، أم، بنت، ابن,أم,1/6,6,36,,True
66,زوج، أم، بنت، ابن,بنت,عصبة,7,36,,True
66,زوج، أم، بنت، ابن,ابن,مراجعة,14,36,,True
67,زوجة، أم، بنت، عم,زوجة,1/8,3,24,,False
67,زوجة، أم، بنت، عم,أم,1/6,4,24,,False
67,زوجة، أم، بنت، عم,بنت,1/2,12,24,,False
67,زوجة، أم، بنت، عم,عم,عصبة,5,24,,False
68,زوجة، أم، بنت، ابن,زوجة,1/8,9,72,,True
68,زوجة، أم، بنت، ابن,أم,1/6,12,72,,True
68,زوجة، أم، بنت، ابن,بنت,عصبة,17,72,,True
68,زوجة، أم، بنت، ابن,ابن,مراجعة,34,72,,True
69,زوج، بنت، جد,زوج,1/4,1,4,,False
69,زوج، بنت، جد,بنت,1/2,2,4,,False
69,زوج، بنت، جد,جد,1/6,1,4,,False
70,زوج، جد، بنت، ابن,زوج,1/4,9,36,,True
70,زوج، جد، بنت، ابن,جد,1/6,6,36,,True
70,زوج، جد، بنت، ابن,بنت,عصبة,7,36,,True
70,زوج، جد، بنت، ابن,ابن,مراجعة,14,36,,True
71,زوجة، بنت، جد,زوجة,1/8,1,8,,False
71,زوجة، بنت، جد,بنت,1/2,4,8,,False
71,زوجة، بنت، جد,جد,1/6,3,8,,False
72,زوجة، جد، بنت، ابن,زوجة,1/8,9,72,,True
72,زوجة، جد، بنت، ابن,جد,1/6,12,72,,True
72,زوجة، جد، بنت، ابن,بنت,عصبة,17,72,,True
72,زوجة، جد، بنت، ابن,ابن,مراجعة,34,72,,True
73,زوج، جدة، بنت، عم,زوج,1/4,3,12,,False
73,زوج، جدة، بنت، عم,جدة,1/6,2,12,,False
73,زوج، جدة، بنت، عم,بنت,1/2,6,12,,False
73,زوج، جدة، بنت، عم,عم,عصبة,1,12,,False
74,زوج، جدة، بنت، ابن,زوج,1/4,9,36,,True
74,زوج، جدة، بنت، ابن,جدة,1/6,6,36,,True
74,زوج، جدة، بنت، ابن,بنت,عصبة,7,36,,True
74,زوج، جدة، بنت، ابن,ابن,مراجعة,14,36,,True
75,زوجة، جدة، بنت، عم,زوجة,1/8,3,24,,False
75,زوجة، جدة، بنت، عم,جدة,1/6,4,24,,False
75,زوجة، جدة، بنت، عم,بنت,1/2,12,24,,False
75,زوجة، جدة، بنت، عم,عم,عصبة,5,24,,False
76,زوجة، جدة، بنت، ابن,زوجة,1/8,9,72,,True
76,زوجة، جدة، بنت، ابن,جدة,1/6,12,72,,True
76,زوجة، جدة، بنت، ابن,بنت,عصبة,17,72,,True
76,زوجة، جدة، بنت، ابن,ابن,مراجعة,34,72,,True
77,زوج، أم، بنت، أب,زوج,1/4,3,13,عالت المسألة,False
77,زوج، أم، بنت، أب,أم,1/6,2,13,عالت المسألة,False
77,زوج، أم، بنت، أب,بنت,1/2,6,13,عالت المسألة,False
77,زوج، أم، بنت، أب,أب,1/6,2,13,عالت المسألة,False
78,زوج، أم، أب، بنت، ابن,زوج,1/4,9,36,,True
78,زوج، أم، أب، بنت، ابن,أم,1/6,6,36,,True
78,زوج، أم، أب، بنت، ابن,أب,1/6,6,36,,True
78,زوج، أم، أب، بنت، ابن,بنت,عصبة,5,36,,True
78,زوج، أم، أب، بنت، ابن,ابن,مراجعة,10,36,,True
79,زوجة، أم، بنت، أب,زوجة,1/8,3,24,,False
79,زوجة، أم، بنت، أب,أم,1/6,4,24,,False
79,زوجة، أم، بنت، أب,بنت,1/2,12,24,,False
79,زوجة، أم، بنت، أب,أب,1/6,5,24,,False
80,زوجة، أم، أب، بنت، ابن,زوجة,1/8,9,72,,True
80,زوجة، أم، أب، بنت، ابن,أم,1/6,12,72,,True
80,زوجة، أم، أب، بنت، ابن,أب,1/6,12,72,,True
80,زوجة، أم، أب، بنت، ابن,بنت,عصبة,13,72,,True
80,زوجة، أم، أب، بنت، ابن,ابن,مراجعة,26,72,,True
81,زوج، أم، بنت، جد,زوج,1/4,3,13,عالت المسألة,False
81,زوج، أم، بنت، جد,أم,1/6,2,13,عالت المسألة,False
81,زوج، أم، بنت، جد,بنت,1/2,6,13,عالت المسألة,False
81,زوج، أم، بنت، جد,جد,1/6,2,13,عالت المسألة,False
82,زوج، أم، جد، بنت، ابن,زوج,1/4,9,36,,True
82,زوج، أم، جد، بنت، ابن,أم,1/6,6,36,,True
82,زوج، أم، جد، بنت، ابن,جد,1/6,6,36,,True
82,زوج، أم، جد، بنت، ابن,بنت,عصبة,5,36,,True
82,زوج، أم، جد، بنت، ابن,ابن,مراجعة,10,36,,True
83,زوجة، أم، بنت، جد,زوجة,1/8,3,24,,False
83,زوجة، أم، بنت، جد,أم,1/6,4,24,,False
83,زوجة، أم، بنت، جد,بنت,1/2,12,24,,False
83,زوجة، أم، بنت، جد,جد,1/6,5,24,,False
84,زوجة، أم، جد، بنت، ابن,زوجة,1/8,9,72,,True
84,زوجة، أم، جد، بنت، ابن,أم,1/6,12,72,,True
84,زوجة، أم، جد، بنت، ابن,جد,1/6,12,72,,True
84,زوجة، أم، جد، بنت، ابن,بنت,عصبة,13,72,,True
84,زوجة، أم، جد، بنت، ابن,ابن,مراجعة,26,72,,True
85,زوج، جدة، بنت، أب,زوج,1/4,3,13,عالت المسألة,False
85,زوج، جدة، بنت، أب,جدة,1/6,2,13,عالت المسألة,False
85,زوج، جدة، بنت، أب,بنت,1/2,6,13,عالت المسألة,False
85,زوج، جدة، بنت، أب,أب,1/6,2,13,عالت المسألة,False
86,زوج، جدة، أب، بنت، ابن,زوج,1/4,9,36,,True
86,زوج، جدة، أب، بنت، ابن,جدة,1/6,6,36,,True
86,زوج، جدة، أب، بنت، ابن,أب,1/6,6,36,,True
86,زوج، جدة، أب، بنت، ابن,بنت,عصبة,5,36,,True
86,زوج، جدة، أب، بنت، ابن,ابن,مراجعة,10,36,,True
87,زوجة، جدة، بنت، أب,زوجة,1/8,3,24,,False
87,زوجة، جدة، بنت، أب,جدة,1/6,4,24,,False
87,زوجة، جدة، بنت، أب,بنت,1/2,12,24,,False
87,زوجة، جدة، بنت، أب,أب,1/6,5,24,,False
88,زوجة، جدة، أب، بنت، ابن,زوجة,1/8,9,72,,True
88,زوجة، جدة، أب، بنت، ابن,جدة,1/6,12,72,,True
88,زوجة، جدة، أب، بنت، ابن,أب,1/6,12,72,,True
88,زوجة، جدة، أب، بنت، ابن,بنت,عصبة,13,72,,True
88,زوجة، جدة، أب، بنت، ابن,ابن,مراجعة,26,72,,True
89,زوج، جدة، بنت، جد,زوج,1/4,3,13,عالت المسألة,False
89,زوج، جدة، بنت، جد,جدة,1/6,2,13,عالت المسألة,False
89,زوج، جدة، بنت، جد,بنت,1/2,6,13,عالت المسألة,False
89,زوج، جدة، بنت، جد,جد,1/6,2,13,عالت المسألة,False
90,زوج، جدة، جد، بنت، ابن,زوج,1/4,9,36,,True
90,زوج، جدة، جد، بنت، ابن,جدة,1/6,6,36,,True
90,زوج، جدة، جد، بنت، ابن,جد,1/6,6,36,,True
90,زوج، جدة، جد، بنت، ابن,بنت,عصبة,5,36,,True
90,زوج، جدة، جد، بنت، ابن,ابن,مراجعة,10,36,,True
91,زوجة، جدة، بنت، جد,زوجة,1/8,3,24,,False
91,زوجة، جدة، بنت، جد,جدة,1/6,4,24,,False
91,زوجة، جدة، بنت، جد,بنت,1/2,12,24,,False
91,زوجة، جدة، بنت، جد,جد,1/6,5,24,,False
92,زوجة، جدة، جد، بنت، ابن,زوجة,1/8,9,72,,True
92,زوجة، جدة، جد، بنت، ابن,جدة,1/6,12,72,,True
92,زوجة، جدة، جد، بنت، ابن,جد,1/6,12,72,,True
92,زوجة، جدة، جد، بنت، ابن,بنت,عصبة,13,72,,True
92,زوجة، جدة، جد، بنت، ابن,ابن,مراجعة,26,72,,True
93,بنات، عم,بنات,2/3,2,3,,False
93,بنات، عم,عم,عصبة,1,3,,False
94,بنات، ابن,بنات,عصبة,1,3,,True
94,بنات، ابن,ابن,مراجعة,2,3,,True
95,زوج، بنات، عم,زوج,1/4,3,12,,False
95,زوج، بنات، عم,بنات,2/3,8,12,,False
95,زوج، بنات، عم,عم,عصبة,1,12,,False
96,زوجة، بنات، عم,زوجة,1/8,3,24,,False
96,زوجة، بنات، عم,بنات,2/3,16,24,,False
96,زوجة، بنات، عم,عم,عصبة,5,24,,False
97,زوج، بنات، ابن,زوج,1/4,1,4,,True
97,زوج، بنات، ابن,بنات,عصبة,1,4,,True
97,زوج، بنات، ابن,ابن,مراجعة,2,4,,True
98,زوجة، بنات، ابن,زوجة,1/8,3,24,,True
98,زوجة، بنات، ابن,بنات,عصبة,7,24,,True
98,زوجة، بنات، ابن,ابن,مراجعة,14,24,,True
99,بنات، أب,بنات,2/3,2,3,,False
99,بنات، أب,أب,1/6,1,3,,False
100,أب، بنات، ابن,أب,1/6,3,18,,True
100,أب، بنات، ابن,بنات,عصبة,5,18,,True
100,أب، بنات، ابن,ابن,مراجعة,10,18,,True
101,بنات، أم، عم,بنات,2/3,4,6,,False
101,بنات، أم، عم,أم,1/6,1,6,,False
101,بنات، أم، عم,عم,عصبة,1,6,,False
102,بنات، أم، ابن,بنات,عصبة,5,18,,True
102,بنات، أم، ابن,أم,1/6,3,18,,True
102,بنات، أم، ابن,ابن,مراجعة,10,18,,True
103,بنات، جد,بنات,2/3,2,3,,False
103,بنات، جد,جد,1/6,1,3,,False
104,بنات، جد، ابن,بنات,عصبة,5,18,,True
104,بنات، جد، ابن,جد,1/6,3,18,,True
104,بنات، جد، ابن,ابن,مراجعة,10,18,,True
105,بنات، جدة، عم,بنات,2/3,4,6,,False
105,بنات، جدة، عم,جدة,1/6,1,6,,False
105,بنات، جدة، عم,عم,عصبة,1,6,,False
106,بنات، جدة، ابن,بنات,عصبة,5,18,,True
106,بنات، جدة، ابن,جدة,1/6,3,18,,True
106,بنات، جدة، ابن,ابن,مراجعة,10,18,,True
107,زوج، بنات، أب,زوج,1/4,3,13,عالت المسألة,False
107,زوج، بنات، أب,بنات,2/3,8,13,عالت المسألة,False
107,زوج، بنات، أب,أب,1/6,2,13,عالت المسألة,False
108,زوج، أب، بنات، ابن,زوج,1/4,9,36,,True
108,زوج، أب، بنات، ابن,أب,1/6,6,36,,True
108,زوج، أب، بنات، ابن,بنات,عصبة,7,36,,True
108,زوج، أب، بنات، ابن,ابن,مراجعة,14,36,,True
109,زوجة، بنات، أب,زوجة,1/8,3,24,,False
109,زوجة، بنات، أب,بنات,2/3,16,24,,False
109,زوجة، بنات، أب,أب,1/6,5,24,,False
110,زوجة، أب، بنات، ابن,زوجة,1/8,9,72,,True
110,زوجة، أب، بنات، ابن,أب,1/6,12,72,,True
110,زوجة، أب، بنات، ابن,بنات,عصبة,17,72,,True
110,زوجة، أب، بنات، ابن,ابن,مراجعة,34,72,,True
111,زوج، أم، بنات، عم,زوج,1/4,3,13,عالت المسألة,False
111,زوج، أم، بنات، عم,أم,1/6,2,13,عالت المسألة,False
111,زوج، أم، بنات، عم,بنات,2/3,8,13,عالت المسألة,False
111,زوج، أم، بنات، عم,عم,عصبة,0,13,عالت المسألة,False
112,زوج، أم، بنات، ابن,زوج,1/4,9,36,,True
112,زوج، أم، بنات، ابن,أم,1/6,6,36,,True
112,زوج، أم، بنات، ابن,بنات,عصبة,7,36,,True
112,زوج، أم، بنات، ابن,ابن,مراجعة,14,36,,True
113,زوجة، أم، بنات، عم,زوجة,1/8,3,24,,False
113,زوجة، أم، بنات، عم,أم,1/6,4,24,,False
113,زوجة، أم، بنات، عم,بنات,2/3,16,24,,False
113,زوجة، أم، بنات، عم,عم,عصبة,1,24,,False
114,زوجة، أم، بنات، ابن,زوجة,1/8,9,72,,True
114,زوجة، أم، بنات، ابن,أم,1/6,12,72,,True
114,زوجة، أم، بنات، ابن,بنات,عصبة,17,72,,True
114,زوجة، أم، بنات، ابن,ابن,مراجعة,34,72,,True
115,زوج، بنات، جد,زوج,1/4,3,13,عالت المسألة,False
115,زوج، بنات، جد,بنات,2/3,8,13,عالت المسألة,False
115,زوج، بنات، جد,جد,1/6,2,13,عالت المسألة,False
116,زوج، جد، بنات، ابن,زوج,1/4,9,36,,True
116,زوج، جد، بنات، ابن,جد,1/6,6,36,,True
116,زوج، جد، بنات، ابن,بنات,عصبة,7,36,,True
116,زوج، جد، بنات، ابن,ابن,مراجعة,14,36,,True
117,زوجة، بنات، جد,زوجة,1/8,3,24,,False
117,زوجة، بنات، جد,بنات,2/3,16,24,,False
117,زوجة، بنات، جد,جد,1/6,5,24,,False
118,زوجة، جد، بنات، ابن,زوجة,1/8,9,72,,True
118,زوجة، جد، بنات، ابن,جد,1/6,12,72,,True
118,زوجة، جد، بنات، ابن,بنات,عصبة,17,72,,True
118,زوجة، جد، بنات، ابن,ابن,مراجعة,34,72,,True
119,زوج، جدة، بنات، عم,زوج,1/4,3,13,عالت المسألة,False
119,زوج، جدة، بنات، عم,جدة,1/6,2,13,عالت المسألة,False
119,زوج، جدة، بنات، عم,بنات,2/3,8,13,عالت المسألة,False
119,زوج، جدة، بنات، عم,عم,عصبة,0,13,عالت المسألة,False
120,زوج، جدة، بنات، ابن,زوج,1/4,9,36,,True
120,زوج، جدة، بنات، ابن,جدة,1/6,6,36,,True
120,زوج، جدة، بنات، ابن,بنات,عصبة,7,36,,True
120,زوج، جدة، بنات، ابن,ابن,مراجعة,14,36,,True
121,زوجة، جدة، بنات، عم,زوجة,1/8,3,24,,False
121,زوجة، جدة، بنات، عم,جدة,1/6,4,24,,False
121,زوجة، جدة، بنات، عم,بنات,2/3,16,24,,False
121,زوجة، جدة، بنات، عم,عم,عصبة,1,24,,False
122,زوجة، جدة، بنات، ابن,زوجة,1/8,9,72,,True
122,زوجة، جدة، بنات، ابن,جدة,1/6,12,72,,True
122,زوجة، جدة، بنات، ابن,بنات,عصبة,17,72,,True
122,زوجة، جدة، بنات، ابن,ابن,مراجعة,34,72,,True
123,زوج، أم، بنات، أب,زوج,1/4,3,15,عالت المسألة,False
123,زوج، أم، بنات، أب,أم,1/6,2,15,عالت المسألة,False
123,زوج، أم، بنات، أب,بنات,2/3,8,15,عالت المسألة,False
123,زوج، أم، بنات، أب,أب,1/6,2,15,عالت المسألة,False
124,زوج، أم، أب، بنات، ابن,زوج,1/4,9,36,,True
124,زوج، أم، أب، بنات، ابن,أم,1/6,6,36,,True
124,زوج، أم، أب، بنات، ابن,أب,1/6,6,36,,True
124,زوج، أم، أب، بنات، ابن,بنات,عصبة,5,36,,True
124,زوج، أم، أب، بنات، ابن,ابن,مراجعة,10,36,,True
125,زوجة، أم، بنات، أب,زوجة,1/8,3,27,عالت المسألة,False
125,زوجة، أم، بنات، أب,أم,1/6,4,27,عالت المسألة,False
125,زوجة، أم، بنات، أب,بنات,2/3,16,27,عالت المسألة,False
125,زوجة، أم، بنات، أب,أب,1/6,4,27,عالت المسألة,False
126,زوجة، أم، أب، بنات، ابن,زوجة,1/8,9,72,,True
126,زوجة، أم، أب، بنات، ابن,أم,1/6,12,72,,True
126,زوجة، أم، أب، بنات، ابن,أب,1/6,12,72,,True
126,زوجة، أم، أب، بنات، ابن,بنات,عصبة,13,72,,True
126,زوجة، أم، أب، بنات، ابن,ابن,مراجعة,26,72,,True
127,زوج، أم، بنات، جد,زوج,1/4,3,15,عالت المسألة,False
127,زوج، أم، بنات، جد,أم,1/6,2,15,عالت المسألة,False
127,زوج، أم، بنات، جد,بنات,2/3,8,15,عالت المسألة,False
127,زوج، أم، بنات، جد,جد,1/6,2,15,عالت المسألة,False
128,زوج، أم، جد، بنات، ابن,زوج,1/4,9,36,,True
128,زوج، أم، جد، بنات، ابن,أم,1/6,6,36,,True
128,زوج، أم، جد، بنات، ابن,جد,1/6,6,36,,True
128,زوج، أم، جد، بنات، ابن,بنات,عصبة,5,36,,True
128,زوج، أم، جد، بنات، ابن,ابن,مراجعة,10,36,,True
129,زوجة، أم، بنات، جد,زوجة,1/8,3,27,عالت المسألة,False
129,زوجة، أم، بنات، جد,أم,1/6,4,27,عالت المسألة,False
129,زوجة، أم، بنات، جد,بنات,2/3,16,27,عالت المسألة,False
129,زوجة، أم، بنات، جد,جد,1/6,4,27,عالت المسألة,False
130,زوجة، أم، جد، بنات، ابن,زوجة,1/8,9,72,,True
130,زوجة، أم، جد، بنات، ابن,أم,1/6,12,72,,True
130,زوجة، أم، جد، بنات، ابن,جد,1/6,12,72,,True
130,زوجة، أم، جد، بنات، ابن,بنات,عصبة,13,72,,True
130,زوجة، أم، جد، بنات، ابن,ابن,مراجعة,26,72,,True
131,زوج، جدة، بنات، أب,زوج,1/4,3,15,عالت المسألة,False
131,زوج، جدة، بنات، أب,جدة,1/6,2,15,عالت المسألة,False
131,زوج، جدة، بنات، أب,بنات,2/3,8,15,عالت المسألة,False
131,زوج، جدة، بنات، أب,أب,1/6,2,15,عالت المسألة,False
132,زوج، جدة، أب، بنات، ابن,زوج,1/4,9,36,,True
132,زوج، جدة، أب، بنات، ابن,جدة,1/6,6,36,,True
132,زوج، جدة، أب، بنات، ابن,أب,1/6,6,36,,True
132,زوج، جدة، أب، بنات، ابن,بنات,عصبة,5,36,,True
