id,question,heirs,asalMasalah,answers,explanation
72,زوج، أم، بنت، عم,زوج | أم | بنت | عم,,,
73,زوج، أم، بنت، ابن,زوج | أم | بنت | ابن,,,
74,زوجة، أم، بنت، عم,زوجة | أم | بنت | عم,,,
75,زوجة، أم، بنت، ابن,زوجة | أم | بنت | ابن,,,
76,زوج، بنت، جد,زوج | بنت | جد,,,
77,زوج، جد، بنت، ابن,زوج | جد | بنت | ابن,,,
78,زوجة، بنت، جد,زوجة | بنت | جد,,,
79,زوجة، جد، بنت، ابن,زوجة | جد | بنت | ابن,,,
80,زوج، جدة، بنت، عم,زوج | جدة | بنت | عم,,,
81,زوج، جدة، بنت، ابن,زوج | جدة | بنت | ابن,,,
82,زوجة، جدة، بنت، عم,زوجة | جدة | بنت | عم,,,
83,زوجة، جدة، بنت، ابن,زوجة | جدة | بنت | ابن,,,
84,زوج، أم، بنت، أب,زوج | أم | بنت | أب,,,
85,زوج، أم، أب، بنت، ابن,زوج | أم | أب | بنت | ابن,,,
86,زوجة، أم، بنت، أب,زوجة | أم | بنت | أب,,,
87,زوجة، أم، أب، بنت، ابن,زوجة | أم | أب | بنت | ابن,,,
88,زوج، أم، بنت، جد,زوج | أم | بنت | جد,,,
89,زوج، أم، جد، بنت، ابن,زوج | أم | جد | بنت | ابن,,,
90,زوجة، أم، بنت، جد,زوجة | أم | بنت | جد,,,
91,زوجة، أم، جد، بنت، ابن,زوجة | أم | جد | بنت | ابن,,,
92,زوج، جدة، بنت، أب,زوج | جدة | بنت | أب,,,
93,زوج، جدة، أب، بنت، ابن,زوج | جدة | أب | بنت | ابن,,,
94,زوجة، جدة، بنت، أب,زوجة | جدة | بنت | أب,,,
95,زوجة، جدة، أب، بنت، ابن,زوجة | جدة | أب | بنت | ابن,,,
96,زوج، جدة، بنت، جد,زوج | جدة | بنت | جد,,,
97,زوج، جدة، جد، بنت، ابن,زوج | جدة | جد | بنت | ابن,,,
98,زوجة، جدة، بنت، جد,زوجة | جدة | بنت | جد,,,
99,زوجة، جدة، جد، بنت، ابن,زوجة | جدة | جد | بنت | ابن,,,
100,بنات، عم,بنات | عم,,,
101,بنات، ابن,بنات | ابن,,,
102,زوج، بنات، عم,زوج | بنات | عم,,,
103,زوجة، بنات، عم,زوجة | بنات | عم,,,
104,زوج، بنات، ابن,زوج | بنات | ابن,,,
105,زوجة، بنات، ابن,زوجة | بنات | ابن,,,
106,بنات، أب,بنات | أب,,,
107,أب، بنات، ابن,أب | بنات | ابن,,,
108,بنات، أم، عم,بنات | أم | عم,,,
109,بنات، أم، ابن,بنات | أم | ابن,,,
110,بنات، جد,بنات | جد,,,
111,بنات، جد، ابن,بنات | جد | ابن,,,
112,بنات، جدة، عم,بنات | جدة | عم,,,
113,بنات، جدة، ابن,بنات | جدة | ابن,,,
114,زوج، بنات، أب,زوج | بنات | أب,,,
115,زوج، أب، بنات، ابن,زوج | أب | بنات | ابن,,,
116,زوجة، بنات، أب,زوجة | بنات | أب,,,
117,زوجة، أب، بنات، ابن,زوجة | أب | بنات | ابن,,,
118,زوج، أم، بنات، عم,زوج | أم | بنات | عم,,,
119,زوج، أم، بنات، ابن,زوج | أم | بنات | ابن,,,
120,زوجة، أم، بنات، عم,زوجة | أم | بنات | عم,,,
121,زوجة، أم، بنات، ابن,زوجة | أم | بنات | ابن,,,
122,زوج، بنات، جد,زوج | بنات | جد,,,
123,زوج، جد، بنات، ابن,زوج | جد | بنات | ابن,,,
124,زوجة، بنات، جد,زوجة | بنات | جد,,,
125,زوجة، جد، بنات، ابن,زوجة | جد | بنات | ابن,,,
126,زوج، جدة، بنات، عم,زوج | جدة | بنات | عم,,,
127,زوج، جدة، بنات، ابن,زوج | جدة | بنات | ابن,,,
128,زوجة، جدة، بنات، عم,زوجة | جدة | بنات | عم,,,
129,زوجة، جدة، بنات، ابن,زوجة | جدة | بنات | ابن,,,
130,زوج، أم، بنات، أب,زوج | أم | بنات | أب,,,
131,زوج، أم، أب، بنات، ابن,زوج | أم | أب | بنات | ابن,,,
132,زوجة، أم، بنات، أب,زوجة | أم | بنات | أب,,,
133,زوجة، أم، أب، بنات، ابن,زوجة | أم | أب | بنات | ابن,,,
134,زوج، أم، بنات، جد,زوج | أم | بنات | جد,,,
135,زوج، أم، جد، بنات، ابن,زوج | أم | جد | بنات | ابن,,,
136,زوجة، أم، بنات، جد,زوجة | أم | بنات | جد,,,
137,زوجة، أم، جد، بنات، ابن,زوجة | أم | جد | بنات | ابن,,,
138,زوج، جدة، بنات، أب,زوج | جدة | بنات | أب,,,
139,زوج، جدة، أب، بنات، ابن,زوج | جدة | أب | بنات | ابن,,,
140,زوجة، جدة، بنات، أب,زوجة | جدة | بنات | أب,,,
141,زوجة، جدة، أب، بنات، ابن,زوجة | جدة | أب | بنات | ابن,,,
142,زوج، جدة، بنات، جد,زوج | جدة | بنات | جد,,,
143,زوج، جدة، جد، بنات، ابن,زوج | جدة | جد | بنات | ابن,,,
144,زوجة، جدة، بنات، جد,زوجة | جدة | بنات | جد,,,
145,زوجة، جدة، جد، بنات، ابن,زوجة | جدة | جد | بنات | ابن,,,
146,بنت ابن,بنت ابن,,,
147,بنت ابن، عم,بنت ابن | عم,,,
148,بنت ابن، ابن ابن,بنت ابن | ابن ابن,,,
149,زوج، بنت ابن، عم,زوج | بنت ابن | عم,,,
150,زوجة، بنت ابن، عم,زوجة | بنت ابن | عم,,,
151,زوج، بنت ابن، ابن ابن,زوج | بنت ابن | ابن ابن,,,
152,زوجة، بنت ابن، ابن ابن,زوجة | بنت ابن | ابن ابن,,,
153,بنت ابن، أب,بنت ابن | أب,,,
154,أب، بنت ابن، ابن ابن,أب | بنت ابن | ابن ابن,,,
155,بنت ابن، أم، عم,بنت ابن | أم | عم,,,
156,بنت ابن، أم، ابن ابن,بنت ابن | أم | ابن ابن,,,
157,بنت ابن، جد,بنت ابن | جد,,,
158,بنت ابن، جد، ابن ابن,بنت ابن | جد | ابن ابن,,,
159,بنت ابن، جدة، عم,بنت ابن | جدة | عم,,,
160,بنت ابن، جدة، ابن ابن,بنت ابن | جدة | ابن ابن,,,
161,زوج، بنت ابن، أب,زوج | بنت ابن | أب,,,
162,زوج، أب، بنت ابن، ابن ابن,زوج | أب | بنت ابن | ابن ابن,,,
163,زوجة، بنت ابن، أب,زوجة | بنت ابن | أب,,,
164,زوجة، أب، بنت ابن، ابن ابن,زوجة | أب | بنت ابن | ابن ابن,,,
165,زوج، أم، بنت ابن، عم,زوج | أم | بنت ابن | عم,,,
166,زوج، أم، بنت ابن، ابن ابن,زوج | أم | بنت ابن | ابن ابن,,,
167,زوجة، أم، بنت ابن، عم,زوجة | أم | بنت ابن | عم,,,
168,زوجة، أم، بنت ابن، ابن ابن,زوجة | أم | بنت ابن | ابن ابن,,,
169,زوج، بنت ابن، جد,زوج | بنت ابن | جد,,,
170,زوج، جد، بنت ابن، ابن ابن,زوج | جد | بنت ابن | ابن ابن,,,
171,زوجة، بنت ابن، جد,زوجة | بنت ابن | جد,,,
172,زوجة، جد، بنت ابن، ابن ابن,زوجة | جد | بنت ابن | ابن ابن,,,
173,زوج، جدة، بنت ابن، عم,زوج | جدة | بنت ابن | عم,,,
174,زوج، جدة، بنت ابن، ابن ابن,زوج | جدة | بنت ابن | ابن ابن,,,
175,زوجة، جدة، بنت ابن، عم,زوجة | جدة | بنت ابن | عم,,,
176,زوجة، جدة، بنت ابن، ابن ابن,زوجة | جدة | بنت ابن | ابن ابن,,,
177,زوج، أم، بنت ابن، أب,زوج | أم | بنت ابن | أب,,,
178,زوج، أم، أب، بنت ابن، ابن ابن,زوج | أم | أب | بنت ابن | ابن ابن,,,
179,زوجة، أم، بنت ابن، أب,زوجة | أم | بنت ابن | أب,,,
180,زوجة، أم، أب، بنت ابن، ابن ابن,زوجة | أم | أب | بنت ابن | ابن ابن,,,
181,زوج، أم، بنت ابن، جد,زوج | أم | بنت ابن | جد,,,
182,زوج، أم، جد، بنت ابن، ابن ابن,زوج | أم | جد | بنت ابن | ابن ابن,,,
183,زوجة، أم، بنت ابن، جد,زوجة | أم | بنت ابن | جد,,,
184,زوجة، أم، جد، بنت ابن، ابن ابن,زوجة | أم | جد | بنت ابن | ابن ابن,,,
185,زوج، جدة، بنت ابن، أب,زوج | جدة | بنت ابن | أب,,,
186,زوج، جدة، أب، بنت ابن، ابن ابن,زوج | جدة | أب | بنت ابن | ابن ابن,,,
187,زوجة، جدة، بنت ابن، أب,زوجة | جدة | بنت ابن | أب,,,
188,زوجة، جدة، أب، بنت ابن، ابن ابن,زوجة | جدة | أب | بنت ابن | ابن ابن,,,
189,زوج، جدة، بنت ابن، جد,زوج | جدة | بنت ابن | جد,,,
190,زوج، جدة، جد، بنت ابن، ابن ابن,زوج | جدة | جد | بنت ابن | ابن ابن,,,
191,زوجة، جدة، بنت ابن، جد,زوجة | جدة | بنت ابن | جد,,,
192,زوجة، جدة، جد، بنت ابن، ابن ابن,زوجة | جدة | جد | بنت ابن | ابن ابن,,,
193,بنات ابن، عم,بنات ابن | عم,,,
194,بنات ابن، ابن ابن,بنات ابن | ابن ابن,,,
195,زوج، بنات ابن، عم,زوج | بنات ابن | عم,,,
196,زوجة، بنات ابن، عم,زوجة | بنات ابن | عم,,,
197,زوج، بنات ابن، ابن ابن,زوج | بنات ابن | ابن ابن,,,
198,زوجة، بنات ابن، ابن ابن,زوجة | بنات ابن | ابن ابن,,,
199,بنات ابن، أب,بنات ابن | أب,,,
200,أب، بنات ابن، ابن ابن,أب | بنات ابن | ابن ابن,,,
201,بنات ابن، أم، عم,بنات ابن | أم | عم,,,
202,بنات ابن، أم، ابن ابن,بنات ابن | أم | ابن ابن,,,
203,بنات ابن، جد,بنات ابن | جد,,,
204,بنات ابن، جد، ابن ابن,بنات ابن | جد | ابن ابن,,,
205,بنات ابن، جدة، عم,بنات ابن | جدة | عم,,,
206,بنات ابن، جدة، ابن ابن,بنات ابن | جدة | ابن ابن,,,
207,زوج، بنات ابن، أب,زوج | بنات ابن | أب,,,
208,زوج، أب، بنات ابن، ابن ابن,زوج | أب | بنات ابن | ابن ابن,,,
209,زوجة، بنات ابن، أب,زوجة | بنات ابن | أب,,,
210,زوجة، أب، بنات ابن، ابن ابن,زوجة | أب | بنات ابن | ابن ابن,,,
211,زوج، أم، بنات ابن، عم,زوج | أم | بنات ابن | عم,,,
212,زوج، أم، بنات ابن، ابن ابن,زوج | أم | بنات ابن | ابن ابن,,,
213,زوجة، أم، بنات ابن، عم,زوجة | أم | بنات ابن | عم,,,
214,زوجة، أم، بنات ابن، ابن ابن,زوجة | أم | بنات ابن | ابن ابن,,,
215,زوج، بنات ابن، جد,زوج | بنات ابن | جد,,,
216,زوج، جد، بنات ابن، ابن ابن,زوج | جد | بنات ابن | ابن ابن,,,
217,زوجة، بنات ابن، جد,زوجة | بنات ابن | جد,,,
218,زوجة، جد، بنات ابن، ابن ابن,زوجة | جد | بنات ابن | ابن ابن,,,
219,زوج، جدة، بنات ابن، عم,زوج | جدة | بنات ابن | عم,,,
220,زوج، جدة، بنات ابن، ابن ابن,زوج | جدة | بنات ابن | ابن ابن,,,
221,زوجة، جدة، بنات ابن، عم,زوجة | جدة | بنات ابن | عم,,,
222,زوجة، جدة، بنات ابن، ابن ابن,زوجة | جدة | بنات ابن | ابن ابن,,,
223,زوج، أم، بنات ابن، أب,زوج | أم | بنات ابن | أب,,,
224,زوج، أم، أب، بنات ابن، ابن ابن,زوج | أم | أب | بنات ابن | ابن ابن,,,
225,زوجة، أم، بنات ابن، أب,زوجة | أم | بنات ابن | أب,,,
226,زوجة، أم، أب، بنات ابن، ابن ابن,زوجة | أم | أب | بنات ابن | ابن ابن,,,
227,زوج، أم، بنات ابن، جد,زوج | أم | بنات ابن | جد,,,
228,زوج، أم، جد، بنات ابن، ابن ابن,زوج | أم | جد | بنات ابن | ابن ابن,,,
229,زوجة، أم، بنات ابن، جد,زوجة | أم | بنات ابن | جد,,,
230,زوجة، أم، جد، بنات ابن، ابن ابن,زوجة | أم | جد | بنات ابن | ابن ابن,,,
231,زوج، جدة، بنات ابن، أب,زوج | جدة | بنات ابن | أب,,,
232,زوج، جدة، أب، بنات ابن، ابن ابن,زوج | جدة | أب | بنات ابن | ابن ابن,,,
233,زوجة، جدة، بنات ابن، أب,زوجة | جدة | بنات ابن | أب,,,
234,زوجة، جدة، أب، بنات ابن، ابن ابن,زوجة | جدة | أب | بنات ابن | ابن ابن,,,
235,زوج، جدة، بنات ابن، جد,زوج | جدة | بنات ابن | جد,,,
236,زوج، جدة، جد، بنات ابن، ابن ابن,زوج | جدة | جد | بنات ابن | ابن ابن,,,
237,زوجة، جدة، بنات ابن، جد,زوجة | جدة | بنات ابن | جد,,,
238,زوجة، جدة، جد، بنات ابن، ابن ابن,زوجة | جدة | جد | بنات ابن | ابن ابن,,,
239,بنت، بنت ابن، عم,بنت | بنت ابن | عم,,,
240,بنت، بنت ابن، ابن ابن,بنت | بنت ابن | ابن ابن,,,
241,زوج، بنت، بنت ابن، عم,زوج | بنت | بنت ابن | عم,,,
242,زوجة، بنت، بنت ابن، عم,زوجة | بنت | بنت ابن | عم,,,
243,زوج، بنت، بنت ابن، ابن ابن,زوج | بنت | بنت ابن | ابن ابن,,,
244,زوجة، بنت، بنت ابن، ابن ابن,زوجة | بنت | بنت ابن | ابن ابن,,,
245,بنت، بنت ابن، أب,بنت | بنت ابن | أب,,,
246,أب، بنت، بنت ابن، ابن ابن,أب | بنت | بنت ابن | ابن ابن,,,
247,بنت، بنت ابن، أم، عم,بنت | بنت ابن | أم | عم,,,
248,بنت، بنت ابن، أم، ابن ابن,بنت | بنت ابن | أم | ابن ابن,,,
249,بنت، بنت ابن، جد,بنت | بنت ابن | جد,,,
250,بنت، بنت ابن، جد، ابن ابن,بنت | بنت ابن | جد | ابن ابن,,,
251,بنت، بنت ابن، جدة، عم,بنت | بنت ابن | جدة | عم,,,
252,بنت، بنت ابن، جدة، ابن ابن,بنت | بنت ابن | جدة | ابن ابن,,,
253,زوج، بنت، بنت ابن، أب,زوج | بنت | بنت ابن | أب,,,
254,زوج، أب، بنت، بنت ابن، ابن ابن,زوج | أب | بنت | بنت ابن | ابن ابن,,,
255,زوجة، بنت، بنت ابن، أب,زوجة | بنت | بنت ابن | أب,,,
256,زوجة، أب، بنت، بنت ابن، ابن ابن,زوجة | أب | بنت | بنت ابن | ابن ابن,,,
257,زوج، أم، بنت، بنت ابن، عم,زوج | أم | بنت | بنت ابن | عم,,,
258,زوج، أم، بنت، بنت ابن، ابن ابن,زوج | أم | بنت | بنت ابن | ابن ابن,,,
259,زوجة، أم، بنت، بنت ابن، عم,زوجة | أم | بنت | بنت ابن | عم,,,
260,زوجة، أم، بنت، بنت ابن، ابن ابن,زوجة | أم | بنت | بنت ابن | ابن ابن,,,
261,زوج، بنت، بنت ابن، جد,زوج | بنت | بنت ابن | جد,,,
262,زوج، جد، بنت، بنت ابن، ابن ابن,زوج | جد | بنت | بنت ابن | ابن ابن,,,
263,زوجة، بنت، بنت ابن، جد,زوجة | بنت | بنت ابن | جد,,,
264,زوجة، جد، بنت، بنت ابن، ابن ابن,زوجة | جد | بنت | بنت ابن | ابن ابن,,,
265,زوج، جدة، بنت، بنت ابن، عم,زوج | جدة | بنت | بنت ابن | عم,,,
266,زوج، جدة، بنت، بنت ابن، ابن ابن,زوج | جدة | بنت | بنت ابن | ابن ابن,,,
267,زوجة، جدة، بنت، بنت ابن، عم,زوجة | جدة | بنت | بنت ابن | عم,,,
268,زوجة، جدة، بنت، بنت ابن، ابن ابن,زوجة | جدة | بنت | بنت ابن | ابن ابن,,,
269,زوج، أم، بنت، بنت ابن، أب,زوج | أم | بنت | بنت ابن | أب,,,
270,زوج، أم، أب، بنت، بنت ابن، ابن ابن,زوج | أم | أب | بنت | بنت ابن | ابن ابن,,,
271,زوجة، أم، بنت، بنت ابن، أب,زوجة | أم | بنت | بنت ابن | أب,,,
272,زوجة، أم، أب، بنت، بنت ابن، ابن ابن,زوجة | أم | أب | بنت | بنت ابن | ابن ابن,,,
273,زوج، أم، بنت، بنت ابن، جد,زوج | أم | بنت | بنت ابن | جد,,,
274,زوج، أم، جد، بنت، بنت ابن، ابن ابن,زوج | أم | جد | بنت | بنت ابن | ابن ابن,,,
275,زوجة، أم، بنت، بنت ابن، جد,زوجة | أم | بنت | بنت ابن | جد,,,
276,زوجة، أم، جد، بنت، بنت ابن، ابن ابن,زوجة | أم | جد | بنت | بنت ابن | ابن ابن,,,
277,زوج، جدة، بنت، بنت ابن، أب,زوج | جدة | بنت | بنت ابن | أب,,,
278,زوج، جدة، أب، بنت، بنت ابن، ابن ابن,زوج | جدة | أب | بنت | بنت ابن | ابن ابن,,,
279,زوجة، جدة، بنت، بنت ابن، أب,زوجة | جدة | بنت | بنت ابن | أب,,,
280,زوجة، جدة، أب، بنت، بنت ابن، ابن ابن,زوجة | جدة | أب | بنت | بنت ابن | ابن ابن,,,
281,زوج، جدة، بنت، بنت ابن، جد,زوج | جدة | بنت | بنت ابن | جد,,,
282,زوج، جدة، جد، بنت، بنت ابن، ابن ابن,زوج | جدة | جد | بنت | بنت ابن | ابن ابن,,,
283,زوجة، جدة، بنت، بنت ابن، جد,زوجة | جدة | بنت | بنت ابن | جد,,,
284,زوجة، جدة، جد، بنت، بنت ابن، ابن ابن,زوجة | جدة | جد | بنت | بنت ابن | ابن ابن,,,
285,بنت، بنات ابن، عم,بنت | بنات ابن | عم,,,
286,بنت، بنات ابن، ابن ابن,بنت | بنات ابن | ابن ابن,,,
287,زوج، بنت، بنات ابن، عم,زوج | بنت | بنات ابن | عم,,,
288,زوجة، بنت، بنات ابن، عم,زوجة | بنت | بنات ابن | عم,,,
289,زوج، بنت، بنات ابن، ابن ابن,زوج | بنت | بنات ابن | ابن ابن,,,
290,زوجة، بنت، بنات ابن، ابن ابن,زوجة | بنت | بنات ابن | ابن ابن,,,
291,بنت، بنات ابن، أب,بنت | بنات ابن | أب,,,
292,أب، بنت، بنات ابن، ابن ابن,أب | بنت | بنات ابن | ابن ابن,,,
293,بنت، بنات ابن، أم، عم,بنت | بنات ابن | أم | عم,,,
294,بنت، بنات ابن، أم، ابن ابن,بنت | بنات ابن | أم | ابن ابن,,,
295,بنت، بنات ابن، جد,بنت | بنات ابن | جد,,,
296,بنت، بنات ابن، جد، ابن ابن,بنت | بنات ابن | جد | ابن ابن,,,
297,بنت، بنات ابن، جدة، عم,بنت | بنات ابن | جدة | عم,,,
298,بنت، بنات ابن، جدة، ابن ابن,بنت | بنات ابن | جدة | ابن ابن,,,
299,زوج، بنت، بنات ابن، أب,زوج | بنت | بنات ابن | أب,,,
300,زوج، أب، بنت، بنات ابن، ابن ابن,زوج | أب | بنت | بنات ابن | ابن ابن,,,
301,زوجة، بنت، بنات ابن، أب,زوجة | بنت | بنات ابن | أب,,,
302,زوجة، أب، بنت، بنات ابن، ابن ابن,زوجة | أب | بنت | بنات ابن | ابن ابن,,,
303,زوج، أم، بنت، بنات ابن، عم,زوج | أم | بنت | بنات ابن | عم,,,
304,زوج، أم، بنت، بنات ابن، ابن ابن,زوج | أم | بنت | بنات ابن | ابن ابن,,,
305,زوجة، أم، بنت، بنات ابن، عم,زوجة | أم | بنت | بنات ابن | عم,,,
306,زوجة، أم، بنت، بنات ابن، ابن ابن,زوجة | أم | بنت | بنات ابن | ابن ابن,,,
307,زوج، بنت، بنات ابن، جد,زوج | بنت | بنات ابن | جد,,,
308,زوج، جد، بنت، بنات ابن، ابن ابن,زوج | جد | بنت | بنات ابن | ابن ابن,,,
309,زوجة، بنت، بنات ابن، جد,زوجة | بنت | بنات ابن | جد,,,
310,زوجة، جد، بنت، بنات ابن، ابن ابن,زوجة | جد | بنت | بنات ابن | ابن ابن,,,
311,زوج، جدة، بنت، بنات ابن، عم,زوج | جدة | بنت | بنات ابن | عم,,,
312,زوج، جدة، بنت، بنات ابن، ابن ابن,زوج | جدة | بنت | بنات ابن | ابن ابن,,,
313,زوجة، جدة، بنت، بنات ابن، عم,زوجة | جدة | بنت | بنات ابن | عم,,,
314,زوجة، جدة، بنت، بنات ابن، ابن ابن,زوجة | جدة | بنت | بنات ابن | ابن ابن,,,
315,زوج، أم، بنت، بنات ابن، أب,زوج | أم | بنت | بنات ابن | أب,,,
316,زوج، أم، أب، بنت، بنات ابن، ابن ابن,زوج | أم | أب | بنت | بنات ابن | ابن ابن,,,
317,زوجة، أم، بنت، بنات ابن، أب,زوجة | أم | بنت | بنات ابن | أب,,,
318,زوجة، أم، أب، بنت، بنات ابن، ابن ابن,زوجة | أم | أب | بنت | بنات ابن | ابن ابن,,,
319,زوج، أم، بنت، بنات ابن، جد,زوج | أم | بنت | بنات ابن | جد,,,
320,زوج، أم، جد، بنت، بنات ابن، ابن ابن,زوج | أم | جد | بنت | بنات ابن | ابن ابن,,,
321,زوجة، أم، بنت، بنات ابن، جد,زوجة | أم | بنت | بنات ابن | جد,,,
322,زوجة، أم، جد، بنت، بنات ابن، ابن ابن,زوجة | أم | جد | بنت | بنات ابن | ابن ابن,,,
323,زوج، جدة، بنت، بنات ابن، أب,زوج | جدة | بنت | بنات ابن | أب,,,
324,زوج، جدة، أب، بنت، بنات ابن، ابن ابن,زوج | جدة | أب | بنت | بنات ابن | ابن ابن,,,
325,زوجة، جدة، بنت، بنات ابن، أب,زوجة | جدة | بنت | بنات ابن | أب,,,
326,زوجة، جدة، أب، بنت، بنات ابن، ابن ابن,زوجة | جدة | أب | بنت | بنات ابن | ابن ابن,,,
327,زوج، جدة، بنت، بنات ابن، جد,زوج | جدة | بنت | بنات ابن | جد,,,
328,زوج، جدة، جد، بنت، بنات ابن، ابن ابن,زوج | جدة | جد | بنت | بنات ابن | ابن ابن,,,
329,زوجة، جدة، بنت، بنات ابن، جد,زوجة | جدة | بنت | بنات ابن | جد,,,
330,زوجة، جدة، جد، بنت، بنات ابن، ابن ابن,زوجة | جدة | جد | بنت | بنات ابن | ابن ابن,,,
331,شقيقة/شقائق,شقيقة/شقائق,,,
332,شقيقة، عم,شقيقة | عم,,,
333,شقيقة، شقيق,شقيقة | شقيق,,,
334,زوج، شقيقة، عم,زوج | شقيقة | عم,,,
335,زوجة، شقيقة، عم,زوجة | شقيقة | عم,,,
336,زوج، شقيقة، شقيق,زوج | شقيقة | شقيق,,,
337,زوجة، شقيقة، شقيق,زوجة | شقيقة | شقيق,,,
338,شقيقة، أم، عم,شقيقة | أم | عم,,,
339,شقيقة، أم، شقيق,شقيقة | أم | شقيق,,,
340,شقيقة، جد,شقيقة | جد,,,
341,شقيقة، جد، شقيق,شقيقة | جد | شقيق,,,
342,شقيقة، جدة، عم,شقيقة | جدة | عم,,,
343,شقيقة، جدة، شقيق,شقيقة | جدة | شقيق,,,
344,زوج، أم، شقيقة، عم,زوج | أم | شقيقة | عم,,,
345,زوج، أم، شقيقة، شقيق,زوج | أم | شقيقة | شقيق,,,
346,زوجة، أم، شقيقة، عم,زوجة | أم | شقيقة | عم,,,
347,زوجة، أم، شقيقة، شقيق,زوجة | أم | شقيقة | شقيق,,,
348,زوج، شقيقة، جد,زوج | شقيقة | جد,,,
349,زوج، جد، شقيقة، شقيق,زوج | جد | شقيقة | شقيق,,,
350,زوجة، شقيقة، جد,زوجة | شقيقة | جد,,,
351,زوجة، جد، شقيقة، شقيق,زوجة | جد | شقيقة | شقيق,,,
352,زوج، جدة، شقيقة، عم,زوج | جدة | شقيقة | عم,,,
353,زوج، جدة، شقيقة، شقيق,زوج | جدة | شقيقة | شقيق,,,
354,زوجة، جدة، شقيقة، عم,زوجة | جدة | شقيقة | عم,,,
355,زوجة، جدة، شقيقة، شقيق,زوجة | جدة | شقيقة | شقيق,,,
356,زوج، أم، شقيقة، جد,زوج | أم | شقيقة | جد,,,
357,زوج، أم، جد، شقيقة، شقيق,زوج | أم | جد | شقيقة | شقيق,,,
358,زوجة، أم، شقيقة، جد,زوجة | أم | شقيقة | جد,,,
359,زوجة، أم، جد، شقيقة، شقيق,زوجة | أم | جد | شقيقة | شقيق,,,
360,زوج، جدة، شقيقة، جد,زوج | جدة | شقيقة | جد,,,
